Model,Property,Best_Approach_by_Mean,Best_Mean,Best_95%CI
ESM3,charge_pH7,SAE,1.41,0.012
ESM3,hydrophobicity,TA,1.91,0.21
ESM3,aromaticity,TA,0.08,0.0097
ESM3,instability_index,SAE,53.8912,2.32
ESM3,molecular_weight,SAE,42781.5,255.716
ESM3,isoelectric_point,SAE,10.286,0.03961
Progen2,charge_pH7,TA,9.085,1.68
Progen2,hydrophobicity,SAE,1.65,0.08
Progen2,aromaticity,SAE,0.04,0.005
Progen2,instability_index,Fine-Tuned,100.09,6.72
Progen2,molecular_weight,SAE,42635.5,268.4
Progen2,isoelectric_point,TA,10.79,0.31
ProLLaMA,charge_pH7,SAE,1.88,0.03927
ProLLaMA,hydrophobicity,SAE,1.72,0.085
ProLLaMA,aromaticity,SAE,0.045,0.006
ProLLaMA,instability_index,SAE,49.8,2.8
ProLLaMA,molecular_weight,SAE,42890.0,272.0
ProLLaMA,isoelectric_point,SAE,9.75,0.145
